timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1583589926366,13,Home Page,200,OK,Scenario 1 1-147,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589926372,13,Home Page,200,OK,Scenario 1 1-18,text,true,,2700,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589926378,14,Home Page,200,OK,Scenario 1 1-73,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,14,0,0
1583589926388,13,Home Page,200,OK,Scenario 1 1-146,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589926393,12,Home Page,200,OK,Scenario 1 1-5,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926404,12,Home Page,200,OK,Scenario 1 1-88,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926420,11,Home Page,200,OK,Scenario 1 1-103,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,11,0,0
1583589926431,12,Home Page,200,OK,Scenario 1 1-66,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926434,14,Home Page,200,OK,Scenario 1 1-21,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,14,0,0
1583589926437,15,Home Page,200,OK,Scenario 1 1-142,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,15,0,0
1583589926440,15,Home Page,200,OK,Scenario 1 1-47,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,15,0,0
1583589926445,15,Home Page,200,OK,Scenario 1 1-16,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,15,0,1
1583589926447,14,Home Page,200,OK,Scenario 1 1-56,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,14,0,0
1583589926442,26,Home Page,200,OK,Scenario 1 1-123,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,26,0,0
1583589926456,14,Home Page,200,OK,Scenario 1 1-90,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,14,0,0
1583589926459,14,Home Page,200,OK,Scenario 1 1-15,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,14,0,1
1583589926463,14,Home Page,200,OK,Scenario 1 1-122,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,14,0,0
1583589926467,13,Home Page,200,OK,Scenario 1 1-149,text,true,,2700,373,150,150,http://localhost/cookieweb/default.asp,13,0,1
1583589926484,12,Home Page,200,OK,Scenario 1 1-75,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,12,0,1
1583589926501,12,Home Page,200,OK,Scenario 1 1-91,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,12,0,1
1583589926509,12,Home Page,200,OK,Scenario 1 1-13,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,12,0,1
1583589926518,13,Home Page,200,OK,Scenario 1 1-27,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,13,0,1
1583589926521,15,Home Page,200,OK,Scenario 1 1-29,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,15,0,1
1583589926524,15,Home Page,200,OK,Scenario 1 1-77,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,14,0,1
1583589926527,14,Home Page,200,OK,Scenario 1 1-19,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,14,0,1
1583589926527,24,Home Page,200,OK,Scenario 1 1-51,text,true,,2705,373,150,150,http://localhost/cookieweb/default.asp,24,0,0
1583589926560,12,Home Page,200,OK,Scenario 1 1-20,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,12,0,1
1583589926554,22,Home Page,200,OK,Scenario 1 1-61,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,22,0,0
1583589926567,12,Home Page,200,OK,Scenario 1 1-25,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,12,0,1
1583589926575,11,Home Page,200,OK,Scenario 1 1-116,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,11,0,0
1583589926604,12,Home Page,200,OK,Scenario 1 1-145,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926609,12,Home Page,200,OK,Scenario 1 1-112,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,11,0,0
1583589926634,12,Home Page,200,OK,Scenario 1 1-46,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926640,12,Home Page,200,OK,Scenario 1 1-86,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,12,0,1
1583589926649,12,Home Page,200,OK,Scenario 1 1-115,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926653,13,Home Page,200,OK,Scenario 1 1-84,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,13,0,1
1583589926657,12,Home Page,200,OK,Scenario 1 1-82,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,12,0,1
1583589926665,11,Home Page,200,OK,Scenario 1 1-48,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,11,0,0
1583589926673,13,Home Page,200,OK,Scenario 1 1-100,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,13,0,1
1583589926678,13,Home Page,200,OK,Scenario 1 1-129,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926679,12,Home Page,200,OK,Scenario 1 1-50,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926682,12,Home Page,200,OK,Scenario 1 1-93,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926698,12,Home Page,200,OK,Scenario 1 1-121,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,11,0,0
1583589926700,11,Home Page,200,OK,Scenario 1 1-49,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,11,0,0
1583589926706,11,Home Page,200,OK,Scenario 1 1-62,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,11,0,0
1583589926724,12,Home Page,200,OK,Scenario 1 1-54,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926724,12,Home Page,200,OK,Scenario 1 1-87,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926752,13,Home Page,200,OK,Scenario 1 1-85,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,12,0,1
1583589926761,11,Home Page,200,OK,Scenario 1 1-68,text,true,,2705,373,150,150,http://localhost/cookieweb/default.asp,11,0,0
1583589926781,14,Home Page,200,OK,Scenario 1 1-102,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,14,0,1
1583589926784,14,Home Page,200,OK,Scenario 1 1-57,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,14,0,0
1583589926784,15,Home Page,200,OK,Scenario 1 1-127,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,14,0,0
1583589926788,13,Home Page,200,OK,Scenario 1 1-64,text,true,,2705,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589926802,16,Home Page,200,OK,Scenario 1 1-92,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,16,0,1
1583589926802,16,Home Page,200,OK,Scenario 1 1-26,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,16,0,1
1583589926804,15,Home Page,200,OK,Scenario 1 1-58,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,15,0,0
1583589926806,15,Home Page,200,OK,Scenario 1 1-150,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,15,0,1
1583589926818,12,Home Page,200,OK,Scenario 1 1-28,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,12,0,1
1583589926855,12,Home Page,200,OK,Scenario 1 1-136,text,true,,2700,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926857,12,Home Page,200,OK,Scenario 1 1-133,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926863,13,Home Page,200,OK,Scenario 1 1-12,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589926865,13,Home Page,200,OK,Scenario 1 1-89,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,12,0,1
1583589926877,11,Home Page,200,OK,Scenario 1 1-55,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,11,0,0
1583589926894,14,Home Page,200,OK,Scenario 1 1-35,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,14,0,1
1583589926898,16,Home Page,200,OK,Scenario 1 1-23,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,16,0,1
1583589926901,19,Home Page,200,OK,Scenario 1 1-97,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,19,0,1
1583589926902,19,Home Page,200,OK,Scenario 1 1-52,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,19,0,0
1583589926902,20,Home Page,200,OK,Scenario 1 1-98,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,20,0,1
